Country,Male,Female
Lithuania,49.5,8.4
Belarus,43,7.7
South Korea,37.2,16.2
Russia,36.6,6.1
Guyana,35.8,13.6
Kazakhstan,33.3,6.3
Latvia,33.1,4.5
Sri Lanka,31.9,8.7
Ukraine,29.9,5.2
Hungary,29.5,6.9
Slovenia,25.8,5
Japan,25.6,10.8
Estonia,25.3,3.9
Moldova,24,4.9
Poland,24,3
Trindad and Tobago,23.6,5.1
Uruguay,23.4,5.3
Finland,23.3,6.6
Belgium,22.6,8.2
Croatia,21.9,5.2
Czech Republic,21.4,3.7
France,20.3,6.5
Chile,19.9,4.8
Austria,18.1,5.3
New Zealand,18,5.1
Unites States,17.7,4.6
Cuba,17.5,4.6
Romania,17.2,2.7
Ireland,16.8,4.2
