Group,Name,Name.Viet,City,Region,Crown.Year,Year,DoB,Age,Height,Bust,Waist,Hip,Weight
Hoa Hau,Bich Phuong,Bùi BÕch Ph__ng,Hanoi,North,1988,15/8/88,21/6/71,17.2,158,86,60,88,50
Hoa Hau,Dieu Hoa,Nguy_n Di_u Hoa,Hanoi,North,1990,15/8/90,18/6/69,21.2,158,81,61,84,
Hoa Hau,Kieu Anh,Hö Ki_u Anh,Hanoi,North,1992,15/8/92,7/7/76,16.1,169,85,62,87,
Hoa Hau,Thuy Thuy,Nguy_n Thu Th_y,Hanoi,North,1995,15/8/95,20/6/76,19.2,169,78,58,88,
Hoa Hau,Thien Nga,Nguy_n Thiên Nga,Saigon,South,1996,15/8/96,25/6/75,21.2,170,87,64,92,
Hoa Hau,Ngoc Khanh,Nguy_n Th_ Ng_c Khành,Saigon,South,1998,15/8/98,22/6/76,22.2,171,87,64,92,54
Hoa Hau,Thu Ngan,Phan Thu Ngän,Dong Nai,South,2000,15/8/00,11/7/80,20.1,169,79,61,92,49
Hoa Hau,Mai Phuong,Ph_m Th_ Mai Ph__ng,Hai Phong,North,2002,15/8/02,27/6/85,17.1,169,84,59,86,49
Hoa Hau,Thi Huyen,Nguy_n Th_ Huy_n,Hai Phong,North,2004,15/8/04,29/6/85,19.1,172,84,61,91,52
Hoa Hau,Phuong Thuy,Mai Ph__ng ThÏy,Hanoi,North,2006,15/8/06,5/8/88,18,180,86,65,95,60
Hoa Hau,Thuy Dung,Tr_n Th_ Thùy Dung,Da Nang,Central,2008,15/8/08,8/7/90,18.1,178,86,61,90,61.5
Hoa Hau,Ngoc Han,__ng Th_ Ng_c Hän,Hanoi,North,2010,15/8/10,11/3/89,21.4,173,83,64,93,55
Hoa Hau,Thu Thao,__ng Thu Th_o,Bac Lieu,South,2012,15/8/12,19/1/91,21.6,173,83,60,90,49
Hoa Hau,Ky Duyen,Nguy_n Cao K_ Duyên,Nam Dinh,North,2014,15/8/14,13/11/96,17.8,173,86,63,91,49
Hoa Hau,My Linh,__ M_ Linh,Hanoi,North,2016,15/8/16,13/10/96,19.9,171,87,61,94,52
Hoa Hau,Tieu Vy,Tr_n Ti_u Vy,Quang Nam,Central,2018,15/8/18,23/8/00,18,174,84,63,90,55
A Hau,Thu Mai,Nguy_n Thu Mai,Hanoi,North,1988,,,16,170,,,,
A Hau,Thu Hang,Tr_n Thu H_ng,Hanoi,North,1990,,,18,160,,,,
A Hau,Van Anh,Tr_n Vän Anh,Saigon,South,1990,,,,170,,,,
A Hau,Thi Dong,Vi Th_ _ªng,Hanoi,North,1992,,,17,170,,,,
A Hau,Huong Lan,Tª H__ng Lan,Tuyen Quang,North,1994,,,17,166,,,,
A Hau,Kim Chi,Tr_nh Kim Chi,Saigon,South,1994,,,22,166,,,,
A Hau,Minh Thuy,V_ Minh ThÏy,Hai Phong,North,1996,,,18,174,,,,
A Hau,Van Anh,__ Vän Anh,Hanoi,North,1996,,,18,170,,,,
A Hau,Thi Thu,V_ Th_ Thu,Quang Ninh,North,1998,,,17,167,,,,
A Hau,Thuy Ha,Ngª ThÏy Hö,Hanoi,North,1998,,,19,168,,,,
A Hau,Thanh Nga,Lê Thanh Nga,Thai Binh,North,2000,,,19,167,,,,
A Hau,Ngoc Oanh,Nguy_n Ng_c Oanh,Hai Phong,North,2000,,,20,165,,,,
A Hau,Hoang Oanh,Bùi Th_ Hoöng Oanh,Saigon,South,2002,,,18,170,,,,
A Hau,Mai Phuong,Nguy_n Th_ Mai Ph__ng,Hai Duong,North,2002,,,16,171,,,,
A Hau,Chan Tran,Tr_nh Chän Trän,Saigon,South,2004,,,24,172,,,,
A Hau,Ngoc Bich,Nguy_n Th_ Ng_c BÕch,Ben Tre,South,2004,,,19,174,,,,
A Hau,Bao Anh,L_u B_o Anh,Can Tho,South,2006,,,24,171,,,,
A Hau,Ngoc Lan,L__ng Th_ Ng_c Lan,Saigon,South,2006,,,20,169,,,,
A Hau,Minh Thu,Phan Hoöng Minh Th_,Lam Dong,South,2008,,,20,168,,,,
A Hau,Thuy Van,Nguy_n Th_y Vän,Hanoi,North,2008,,,22,171,,,,
A Hau,Hoang My,V_ Th_ Hoöng My,Dong Nai,South,2010,,,22,171,,,,
A Hau,Thuy Trang,__ng Th_ Thùy Trang,Hanoi,North,2010,,,19,172,,,,
A Hau,Tu Anh,D__ng TÏ Anh,Hanoi,North,2012,,,19,172,,,,
A Hau,Hoang Anh,__ Hoöng Anh,Hanoi,North,2012,,,18,176,,,,
A Hau,Huyen My,Nguy_n Tr_n Huy_n My,Hanoi,North,2014,,,19,174,,,,
A Hau,Diem Trang,Nguy_n Läm Di_m Trang,Vinh Long,South,2014,,,23,167,,,,
A Hau,Thanh Tu,Ngª Thanh Thanh TÏ,Hanoi,North,2016,,,22,180,,,,
A Hau,Thuy Dung,Hu_nh Th_ Thùy Dung,Saigon,South,2016,,,20,171,,,,
A Hau,Phuong Nga,Bùi Ph__ng Nga,Hanoi,North,2018,,,20,172,,,,
A Hau,Thuy An,Nguy_n Th_ ThÏy An,Kien Giang,South,2018,,,21,168,,,,
