"X","Class","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","print","population","habitat"
1,"Poisonous","x","s","n","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","s","u"
2,"Edible","x","s","y","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
3,"Edible","b","s","w","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
4,"Poisonous","x","y","w","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Buff","s","u"
5,"Edible","x","s","g","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
6,"Edible","x","y","y","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","n","g"
7,"Edible","b","s","w","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
8,"Edible","b","y","w","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
9,"Poisonous","x","y","w","t","None","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Buff","v","g"
10,"Edible","b","s","y","t","Almonds","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","s","m"
11,"Edible","x","y","y","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
12,"Edible","x","y","y","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Buff","s","m"
13,"Edible","b","s","y","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
14,"Poisonous","x","y","w","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
15,"Edible","x","f","n","f","Musty","f","w","b","n","t","e","s","f","w","w","p","w","o","e","Buff","a","g"
16,"Edible","s","f","g","f","Musty","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Chocolate","y","u"
17,"Edible","f","f","w","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
18,"Poisonous","x","s","n","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Buff","s","g"
19,"Poisonous","x","y","w","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","s","u"
20,"Poisonous","x","s","n","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Chocolate","s","u"
21,"Edible","b","s","y","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
22,"Poisonous","x","y","n","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","v","g"
23,"Edible","b","y","y","t","Fishy","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
24,"Edible","b","y","w","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
25,"Edible","b","s","w","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Buff","s","m"
26,"Poisonous","f","s","w","t","None","f","c","n","n","e","e","s","s","w","w","p","w","o","p","Chocolate","v","g"
27,"Edible","x","y","y","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
28,"Edible","x","y","w","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
29,"Edible","f","f","n","f","Musty","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","y","u"
30,"Edible","x","s","y","t","Almonds","f","w","n","n","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
31,"Edible","b","s","y","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
32,"Poisonous","x","y","w","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Chocolate","s","u"
33,"Edible","x","y","y","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
34,"Edible","x","y","n","t","Fishy","f","c","b","p","e","r","s","y","w","w","p","w","o","p","Chocolate","y","p"
35,"Edible","b","y","y","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
36,"Edible","x","f","y","t","Fishy","f","w","n","w","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
37,"Edible","s","f","g","f","Musty","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","v","u"
38,"Poisonous","x","y","n","t","None","f","c","n","w","e","e","s","s","w","w","p","w","o","p","Chocolate","s","u"
39,"Edible","x","f","y","t","Almonds","f","w","n","p","t","b","s","s","w","w","p","w","o","p","Chocolate","v","d"
40,"Edible","b","s","y","t","Fishy","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","s","m"
41,"Edible","b","y","y","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
42,"Edible","x","y","y","t","Fishy","f","c","b","n","e","r","s","y","w","w","p","w","o","p","Buff","y","p"
43,"Edible","x","f","n","f","Musty","f","c","n","g","e","e","s","s","w","w","p","w","o","p","Buff","y","u"
44,"Poisonous","x","y","w","t","None","f","c","n","p","e","e","s","s","w","w","p","w","o","p","Chocolate","v","g"
45,"Edible","x","s","y","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","n","m"
46,"Edible","x","y","w","t","Almonds","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
47,"Edible","x","y","y","t","Fishy","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","s","m"
48,"Edible","x","s","w","t","Fishy","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
49,"Edible","x","y","y","t","Fishy","f","c","b","n","e","r","s","y","w","w","p","w","o","p","Chocolate","s","p"
50,"Edible","f","y","y","t","Fishy","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Buff","s","p"
51,"Edible","x","y","n","t","Almonds","f","c","b","w","e","r","s","y","w","w","p","w","o","p","Buff","s","g"
52,"Edible","x","s","w","t","Fishy","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","s","g"
53,"Edible","b","s","w","t","Fishy","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
54,"Poisonous","x","y","n","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
55,"Poisonous","x","s","w","t","None","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Buff","v","u"
56,"Edible","b","y","y","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Buff","s","m"
57,"Edible","f","f","g","f","Musty","f","w","b","n","t","e","s","s","w","w","p","w","o","e","Chocolate","a","g"
58,"Edible","b","s","w","t","Almonds","f","c","b","w","e","c","s","s","w","w","p","w","o","p","Chocolate","n","g"
59,"Edible","x","s","y","t","Fishy","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Buff","n","g"
60,"Edible","x","y","n","t","Almonds","f","c","b","p","e","r","s","y","w","w","p","w","o","p","Buff","y","p"
61,"Edible","s","f","g","f","Musty","f","c","n","k","e","e","s","s","w","w","p","w","o","p","Chocolate","v","u"
62,"Edible","b","y","y","t","Almonds","f","c","b","k","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
63,"Edible","b","s","y","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","s","m"
64,"Edible","b","y","y","t","Fishy","f","c","b","g","e","c","s","s","w","w","p","w","o","p","Chocolate","n","m"
65,"Edible","b","y","w","t","Fishy","f","c","b","n","e","c","s","s","w","w","p","w","o","p","Chocolate","s","g"
66,"Edible","f","s","n","f","Musty","f","w","b","k","t","e","s","s","w","w","p","w","o","e","Buff","a","g"
