Month,Sales of shampoo over a three year period
"Friday, January 1, 2016",266
"Monday, February 1, 2016",145.9
"Tuesday, March 1, 2016",183.1
"Friday, April 1, 2016",119.3
"Sunday, May 1, 2016",180.3
"Wednesday, June 1, 2016",168.5
"Friday, July 1, 2016",231.8
"Monday, August 1, 2016",224.5
"Thursday, September 1, 2016",192.8
"Saturday, October 1, 2016",122.9
"Tuesday, November 1, 2016",336.5
"Thursday, December 1, 2016",185.9
"Sunday, January 1, 2017",194.3
"Wednesday, February 1, 2017",149.5
"Wednesday, March 1, 2017",210.1
"Saturday, April 1, 2017",273.3
"Monday, May 1, 2017",191.4
"Thursday, June 1, 2017",287
"Saturday, July 1, 2017",226
"Tuesday, August 1, 2017",303.6
"Friday, September 1, 2017",289.9
"Sunday, October 1, 2017",421.6
"Wednesday, November 1, 2017",264.5
"Friday, December 1, 2017",342.3
"Monday, January 1, 2018",339.7
"Thursday, February 1, 2018",440.4
"Thursday, March 1, 2018",315.9
"Sunday, April 1, 2018",439.3
"Tuesday, May 1, 2018",401.3
"Friday, June 1, 2018",437.4
"Sunday, July 1, 2018",575.5
"Wednesday, August 1, 2018",407.6
"Saturday, September 1, 2018",682
"Monday, October 1, 2018",475.3
"Thursday, November 1, 2018",581.3
"Saturday, December 1, 2018",646.9
